RNA	DeepFoldRNA	trRosettaRNA	DRfold	RhoFold	RoseTTAFoldNA	RNAComposer	SimRNA	ROMET-RNA
R1107	0.4045	0.2286	0.2126	0.2821	0.3217	0.1464	0.2366	0.3217
R1108	0.3948	0.3558	0.3653	0.3621	0.3232	0.1387	0.241	0.4254
R1116	0.4373	0.5391	0.3804	0.4661	0.3431	0.432	0.1272	0.5479
R1117	0.2028	0.2429	0.2591	0.2025	0.2247	0.1216	0.1769	0.2591
R1126	0.2198	0.1824	0.1466	0.0983	0.1856	0.173	0.1182	0.1443
R1128	0.2423	0.2841	0.2753	0.2857	0.242	0.2005	0.1374	0.2005
R1136	0.115	0.1904	0.1691	0.1033	0.1564	0.1762	0.1032	0.2475
R1149	0.2626	0.2357	0.2754	0.2619	0.2938	0.2429	0.2102	0.2431
R1156	0.2527	0.2205	0.2538	0.0884	0.112	0.1808	0.2119	0.3237
R1189	0.1793	0.1638	0.1922	0.2279	0.2279	0.2041	0.1736	0.2027
R1190	0.2066	0.2007	0.2172	0.2436	0.2608	0.2533	0.1652	0.2511
Average	0.2652454545454545	0.2585454545454546	0.24972727272727277	0.23835454545454546	0.24465454545454549	0.20631818181818182	0.17285454545454546	0.28790909090909095
