RNA	DeepFoldRNA	trRosettaRNA	DRfold	RhoFold	RoseTTAFoldNA	RNAComposer	SimRNA	ROMET-RNA
PZ1	0.2156	0.4886	0.5773	0.3567	0.4357	0.5959	0.1996	0.5773
PZ10	0.729	0.7742	0.6292	0.4054	0.8369	0.2356	0.1064	0.8369
PZ11	0.432	0.6954	0.3663	0.3727	0.2327	0.2765	0.1395	0.4853
PZ12	0.7894	0.8655	0.8457	0.792	0.9326	0.1971	0.1462	0.9326
PZ13	0.6495	0.5498	0.4667	0.4399	0.7127	0.2392	0.124	0.6447
PZ14Bound	0.3266	0.6898	0.8022	0.6626	0.8841	0.292	0.1349	0.8022
PZ14Free	0.4297	0.3381	0.4069	0.3535	0.7228	0.3459	0.1856	0.4069
PZ15	0.5282	0.7105	0.2771	0.5091	0.7888	0.2379	0.1851	0.7888
PZ17	0.4458	0.7546	0.407	0.5174	0.2899	0.2192	0.1852	0.7546
PZ18	0.699	0.7812	0.8319	0.3554	0.9368	0.1964	0.2089	0.8319
PZ19	0.35	0.4831	0.4464	0.3439	0.2639	0.3805	0.1422	0.4464
PZ20	0.4232	0.7809	0.4248	0.4039	0.3503	0.2411	0.1745	0.4668
PZ21	0.5921	0.5577	0.6235	0.3981	0.9251	0.2113	0.2272	0.6235
PZ22	0.6576	0.6386	0.7511	0.378	0.6539	0.2067	0.2339	0.7511
PZ23	0.4843	0.6041	0.5957	0.3042	0.903	0.2697	0.1703	0.903
PZ24	0.6069	0.8164	0.7943	0.402	0.9346	0.3929	0.1414	0.9346
PZ25	0.6572	0.6073	0.723	0.6532	0.9456	0.2353	0.1432	0.723
PZ26	0.4671	0.5081	0.5567	0.3177	0.3083	0.2626	0.228	0.5567
PZ27	0.302	0.2956	0.2108	0.4404	0.2627	0.1353	0.0934	0.3958
PZ28	0.4246	0.7547	0.9023	0.3326	0.9255	0.2401	0.2336	0.9255
PZ29	0.7562	0.8009	0.8568	0.6097	0.9752	0.309	0.117	0.8568
PZ3	0.8329	0.7485	0.729	0.6865	0.7907	0.3165	0.2664	0.8153
PZ30	0.2437	0.25	0.2393	0.2255	0.2196	0.2221	0.1389	0.2635
PZ33	0.6183	0.6238	0.2956	0.2875	0.2677	0.2661	0.3133	0.6612
PZ34	0.2973	0.2565	0.3202	0.5749	0.3014	0.2424	0.2414	0.2747
PZ35	0.3398	0.2213	0.2126	0.3346	0.3188	0.1976	0.2266	0.3721
PZ36	0.281	0.1343	0.1968	0.1858	0.2975	0.1413	0.202	0.2932
PZ37	0.3256	0.2279	0.2183	0.2157	0.3226	0.1179	0.1978	0.2788
PZ38	0.2024	0.2047	0.2352	0.2841	0.2087	0.1682	0.2723	0.1699
PZ39	0.2703	0.2813	0.2972	0.2693	0.303	0.2308	0.2244	0.4194
PZ4	0.7831	0.8276	0.9494	0.7317	0.9324	0.3244	0.1133	0.9306
PZ5	0.4496	0.6336	0.8867	0.3849	0.8929	0.2278	0.1221	0.8867
PZ6	0.8476	0.4292	0.7861	0.797	0.8771	0.1581	0.1075	0.8771
PZ7	0.5217	0.5388	0.9546	0.3177	0.7017	0.1444	0.1545	0.9546
PZ8	0.8102	0.8592	0.9495	0.7826	0.8623	0.1547	0.1485	0.9495
PZ9	0.4159	0.7155	0.7848	0.4564	0.7954	0.1642	0.1704	0.7848
Average	0.5057055555555555	0.5679805555555556	0.5708611111111112	0.44118333333333337	0.6198027777777777	0.24435277777777772	0.17831944444444442	0.6548833333333333
